text,sentiment
the intrusion is all but welcome by howard who is going more and more out of his mind with each passing minute,positive
it seems that no matter where he turns a camera is being shoved in his face and questions regarding homosexuality are being tossed to him like frisbees,positive
the dominoes begin to tumble as howards closest friends begin acting different and principal halliwell hints at a possible termination of employment should howard indeed be gay,positive
it all sounds very devastating and it would be if it werent presented with nearperfection by one of this years most delightful ensemble casts,positive
kline seems only to improve with age and he is downright perfect here,positive
the great thing about this film is that every single character has a moment to shine and they use it wonderfully,positive
every single actor turns in one of their best performances ever,positive
dillon has never been so likeable cusack has never seemed so perfect for a role and brimley reynolds and newhart all provide huge laughs when theyre up to bat,positive
rudnicks script is heavily laced with wit and humor and youll likely find yourself laughing out loud for a solid ninety minutes,positive
while in out doesnt carry enough to give it four stars it remains one of the best done films of the year allaround,positive
the script is exuberant the actors are absolutely top notch and were allowed just the perfect blend of hearttugging so as not to bog down the laughs,positive
it remains a solid comedy throughout its entirety yet were still allowed a sappily touching ending,positive
despite its subject matter and one scene that comes almost too close for comfort on explaining gay sex this is a movie that everyone could and should enjoy,positive
frank oz best known as a voice talent for muppets directs this film quite delightfully using all the potential rudnicks script has to offer which turns out to be quite a bit,positive
check this one out,positive
youll have a gay old time,positive
the happy bastards 30second review,positive
notting hill,positive
a cute romantic comedy from the writer of the hit comedy four weddings and a funeral notting hill stars julia roberts as anna scott a very popular actress with a 15 million asking price for movies,positive
one day she wanders into a travel book store owned by a simple london resident played by hugh grant and sparks somehow begin to fly,positive
sure there are points of turmoil such as putting up with grants slightly disgusting but very hilarious roommate spike annas pesky exboyfriend alec baldwin in a humorous cameo and on top of all that those damn press,positive
its a fresh sort of complexity to see in a romantic comedy very different from say a stubborn father or not the right time like as seen in usual flicks,positive
roberts is terrific as the astonishingly beautiful actress and grant is surprisingly good as the straightforward guy still trying to get a hold of what has actually happened with this girl,positive
in short a sweet romantic comedy that has a lot of good laughs particularly provided by spike,positive
one teeshirt really says it all about him,positive
in an attempt to turn on a woman he shows the front of the shirt which says you are the most beautiful woman in the world,positive
on the back,positive
fancy a f k,positive
i like movies with albert brooks and i really like movies directed and written by albert brooks,positive
lost in america and defending your life are two of my favorite comedies,positive
his humor is of a kind that is not very prevalent in movies today inundated as we are with films which revel in their aim toward the lowest common denominator,positive
you will rarely see any slapstick in an albert brooks film while the dialog will not be as oppressive as in some of the independent talk films which are finding their way into theaters,positive
the situations in which his characters find themselves are ones we can often identify with but even if we cant brooks has the talent to make them comfortable and therefore we laugh,positive
teenagers and jim carrey fans probably wont find an albert brooks movie very funny but people who look for more than what we could find on television probably will,positive
put simply brooks comedy is intelligent,positive
mother is albert brooks latest film and it does not disappoint,positive
brooks plays john henderson a middleaged science fiction writer just coming off his second divorce,positive
he makes an attempt at dating but fails miserably,positive
he then has dinner with his brother jeff rob morrow a successful sports agent who seems to live the ideal life,positive
jeff has a good job a loving family and most of all a warm relationship with their mother beatrice debbie reynolds,positive
after dinner john witnesses a telephone conversation between jeff and beatrice and is at the same time amazed and sickened by how hunkydory the dialog is,positive
in comparison beatrice always hints at a fault in john and his career every time she talks with him and john gives it right back to her,positive
at the end of one of their conversations where beatrice has just picked apart johns life she says i love you and john replies with i know you think you do,positive
the thing is beatrice is not overt with her criticisms but instead gives them in that mothering way which is tantamount to nitpicking and guilt loading,positive
its the kind that goes something like yes dear i think you do that wonderfully but,positive
it seems as though nothing he does makes her happy,positive
theres always the big but,positive
john believes that his mother is somehow connected to his failed relationships with women either because of his flawed selfesteem caused by his need for validation or perhaps because he tends to unconsciously seek out women who remind him of his mother in an oedipal manner,positive
he comes to the conclusion that since his problems are rooted in his boyhood home he should move back in with his mother for a while just to see what kinds of feelings come out and by that be able to sort out why his life is the way it is,positive
a great experiment he calls it,positive
brooks own brand of humor really shines in this film especially in the interaction john has with his mother,positive
theres a scene where john has just arrived at his mothers house and after having driven from los angeles to sausalito and having explained to his mother about the great experiment beatrice asks now explain to me again why you dont want to stay at a hotel,positive
she still doesnt get it and it is absolutely hilarious,positive
in the same scene we get little glances at the life his mother leads when she tries to feed him food that is no longer fresh,positive
she apparently buys in great quantities and refrigerates it until the lettuce is wilted and the sherbet is iced over,positive
when john points out the ice on the sherbet beatrice tells him not to worry about the protective glaze,positive
youve named the ice,positive
asks john,positive
hes also surprised at the variety of items beatrice keeps in the refrigerator such as a twentypound block of cheese,positive
the freezer was a good invention says john but its not supposed to be used for everything,positive
thats why its smaller than the refrigerator,positive
its something most of us find strangely familiar,positive
brooks is also a master at employing the non sequitur,positive
for example in defending your life his and meryl streeps characters are in a comedy club having a discussion,positive
when theyre finished and walk out brooks cuts to the comic on stage who is just at the point of delivering his punch line and so the moral is if you have to fart go outside,positive
you dont know what the joke was because you couldnt hear him during the entire scene but i must have laughed for the next five minutes it seemed so out of context,positive
in this film brooks uses the same trick a couple of times to open or close a scene,positive
i dont want to give them away but suffice it to say they work just as well as they have in the past,positive
johns purpose for staying with his mother is to learn and we as the audience learn right along with him,positive
his mother is not the fascinating type to begin with but as john spends more time with her we learn things about her personality and her lifestyle that give her depth,positive
watching the character of beatrice unfold is every bit as enjoyable as the humor that accompanies it each step of the way,positive
on screen brooks does an excellent job playing this kind of character you get the feeling he often believes he is the only sane person in an insane world,positive
in a way hes very much like yosarian of catch22 expect with something of an attitude,positive
casting debbie reynolds as beatrice is perfect,positive
she assumes the part with ease even moving and speaking a little slowly and is just so adorable its hard to get mad at her character,positive
this only helps the audience to share the frustration john feels when dealing with her,positive
as his first choice brooks originally wanted to lure nancy reagan out from her acting retirement to play beatrice but the former actress and first lady could not leave her husband who was beginning to show symptoms of alzheimers disease,positive
that may be just as well since reynolds lends a softness to the character which enhances it immensely,positive
rob morrow also does a good job at playing the younger brother who has always been mothers favorite and for all his success in his job and family is slowly exposed as a mamas boy,positive
the only things that hold this movie back from being better are a couple of plot holes,positive
a solid connection is not really made between johns troubles and his reasons for living with his mother,positive
additionally the end results of the experiment do not necessarily jibe with the stated goals and although this may have been sloppy screenwriting how can you be mad at the guy who also wrote this,positive
beatrice you must think im some kind of moron,positive
john no i think your someone who thinks im a moron,positive
beatrice well it takes one to know one,positive
its tough to really say something nice about a type of person whos so ethnocentric that any humanity they once had is now gone but by god american history x does it and for that i commend it,positive
it not only takes balls but intelligence to make a human being out of a neonazi skinhead a kind of person who dedicates their lives to hating anyone whos not what they are and this film wisely and miracurously pulls it off,positive
the subject of this film is one of them but he is worse than one of the blind followers that make up most skinhead members since he is the leader of the pack,positive
hes the one who instigates them to take a firm grip onto their rage and then in another brilliant stroke justifies it with political propoganda that makes eerie sense when he speaks,positive
hes so utterly convincing as a public speaker and so firm in his convictions that it comes as a shock when he actually goes through the rehabilitation process,positive
his name is derek vinyard and hes played by edward norton with so much fire and intensity that when he speaks hes almost as convincing and arresting a public speaker as say malcom x when we first see him hes clean shaven with a jet black swastica emrboidered on his left breast a devlish goatee and hes attacking the black carjackers outside of his house dressed in nothing but his white boxers and carrying a handgun in his hand that never seems to run out of bullets at least when he doesnt need them,positive
he so believes in his convictions that hes willing to put his beliefs to the test even if he knows it will mean a stop in prison if only for a couple years,positive
american history x is about derek how he became a neonazi skinhead how he rose to power how he was rehabilitated in prison after murdering two black men in a fit of rage that was less to do with the stealing of his car and more to do with proving himself and how he tried to save others namely his younger brother from making the same mistake,positive
we see him at all of these stages as a smart teenager a vicious hate monger a man having an epiphany and the man who tries to correct what hes done before and in all of these we get a portrait of a man from all sides,positive
or at least thats the intention,positive
the films framing device is his brother danny edward furlong perpetually looking about 13 also now a skinhead and how his principal bob sweeney avery brooks who i just found out was or is the captain on star treks deep space 9 is trying to correct him,positive
when the film opens danny has just written a book report on mein kampf landing him in trouble with sweeney which causes him to make him write a paper on dereks life and how it has gotten him nowhere,positive
coincidentally this day is the day derek is released from prison and when we see him hes cleanedup not as buff and has a full head of hair,positive
hes just as intelligent but still very rough along the edges but hes wisened up,positive
hes no longer controlled by his anger at blacks and jews and tries to persuade danny whos becoming what derek was before to give up his lifestyle,positive
but danny wont,positive
he goes to a large skinhead beer bash meets with the skinhead leader stacy keach and then discovers that derek is as opposed to neonazidom as he was for it a couple of years ago,positive
the film circles around this then spins off into nonlinear flashbacks all done in black and white,positive
we mostly see derek at his prime as a skinhead living in venice beach organizing vicious and quasisadistic raids on local stores that no longer hire the white middleclass teenagers since they can easily get cheaper illegal immigrants to do the same work and mouthing off his theories on affirmative action and how illegal immigrants and blacks have destroyed the fundamentals this country was built on,positive
to them the white man is the one who has gotten the fuzzy end of the lolipop and he not only speaks elloquently forcefully and intelligently but he backs everything up with political reasons justifying their rage at least to them,positive
and frighteningly enough much of what he says sounds true,positive
american history x is a collection of really great scenes and moments rather than a cohesive great film that flows effortlessly from one moment to the next,positive
in it there are some of the best scenes ive seen all year,positive
one scene features a dinner between dereks family and his mothers newest boyfriend played with reserve by eliott gould a jewish liberal who quietly disagrees with dereks rightist views launching the scene into a fit of rage and anger that builds unparalled emotions in the audience goulds reaction to dereks final summation is unnerrving,positive
another scene uses humor and traditional macho sex talk to build a friendship and a nice connection between derek and a black coworker guy torry while folding laundry in prison,positive
and another soontobeclassic is actually divided in two the murder of the two black men that winds derek in jail which contains a final murder so nasty that it may be the most revoltingly shocking all year,positive
theres much more to appreciate like the acting which is uniformly good with standouts coming from avery brooks beverly dangelo as the longsuffering mother and gould who has one horrible line but other than that comes off with the best performance hes given in what seems like a really long time,positive
norton walks off with the film though coming off with such intensity that he reduces anyone not doing an adequate job to rubble,positive
in only the fifth movie of his career norton has invented himself as one of the most reliable and intense actors of his generation and maybe the best,positive
theres nothing like it when norton really gets rolling in this movie spewing out lines with such authority that he commands all attention from the audience coming off with power similar to that of a young maron brando,positive
that he allows the little emotions to seep through is amazing,positive
sadly enough this isnt going to be the great portrait of racism that it perhaps hopes to be,positive
its too unambitious and even a little contrived to really take off as either a powerful statement or an emotional masterpiece,positive
the ending especially is pencilled in from other movies tossed in just so the emotional keyboard can be trounced upon,positive
some of the skinheads are reduced to mere cliches kevin smith regular ethan suplee fairs rather annoyingly as the fat skinhead whose lines consist without fail of expressing his desire to eat more and even the dramatic arc isnt as well travelled,positive
furlongs danny never seems to really be learning a lesson since the flashbacks refuse to show his point of view and when he decides to make a change by the end which was inevitable it doesnt seem like it has actually arrived there,positive
even dereks descent into skinheaddom doesnt seem justified,positive
though his fireman father william russ the dad from boy meets world and dont ask me how i know that is killed by a black junkie and even before he spoke against affirmative action intelligently there never seems to be any real back story why derek became so intense about his beliefs,positive
as such one can see why the director tony kaye wanted to have his name removed,positive
sorta,positive
american history x is a very good movie and i was very moved by it but it could be a lot better and the problem seems to be that the cut as it is is not up to what he claims to be his potential,positive
somewhere he claims there lies a tony kaye cut and that was to be the true cut until it was viewed by norton who then ordered another cut and that is thus,positive
although he aimed for the directing credit to go to alan smithee the resident name for any film that is to be disowned by its director it wasnt allowed to him under the grounds that once you disown a film you can not badmouth it but really thats the macguffin no one really wanted a film this good to be given the alan smithee sign of disapproval,positive
kayes right in that its not up to par even if hes not referring to normal par but rather his own personal par,positive
this will not be a do the right thing for the late 90s,positive
yet it still gets its point across intelligently and backs it up with its story its message that one cannot be so enwrapped in ones own beliefs or pain and suffering will occur is literally said over the narration unfortunately,positive
and even if it isnt perfect at least when avery brooks turns to norton after he has been beaten and raped in prison and asks him if anything hes done has made his life any better it realy hits a nerve not only in derek but also in the audience,positive
i have a soft spot in my heart for pure amoral sleaze,positive
i liked showgirls there i said it,positive
i typically enjoy myself when sitting through that eszterhaz sexfilled cinematic tabloidish trash,positive
wild things is the best sleazy film ive ever seen,positive
its filled with great performances graphic sex threeway sex rape charges doublecrosses plot twists genitalia of all genders graphic violence death witty humor and best of all denise richards,positive
criticizing this film for being disgusting raucous and just plain wrong is as fundamentally pointless as criticizing citizen kane for being disturbing or titanic for being lofty and epic,positive
wild things is a film that succeeds in its endeavors but i dont just admire it for thisi admire it for being so entertaining and such a fun time at the movies,positive
i must admit upfront however that i am directly in the center of the age group to which this film has been engineered to appeal,positive
i imagine that this shows,positive
its hard to give a plot summary without giving away pieces that shouldnt be known,positive
i thought i had the whole thing worked out from the trailer but i was wrong there are a lot of turns here,positive
ill just say that the film takes place in blue bay a rich little town in florida,positive
in blue bay lives sam lombardo matt dillon a teacher who is accused of rape by two of his students kelly van ryan denise richards and suzie toller neve campbell,positive
kellys mother sandra theresa russell immediately presses charges,positive
all of this happens fairly early in the film,positive
and right up until this point i had the whole film predicted,positive
i was wrong though and every time i was proven wrong i was shocked,positive
wild things isnt even remotely plausible but it is so fun to see where the story takes us that the implausibility of every scene is meaningless and often invited just for kicks,positive
i remember first seeing the preview for wild things before the replacement killers,positive
id give the preview four stars,positive
it made me want to see the movie so much that ive been waiting for it anxiously ever since,positive
over the past few weeks though i started to realize that there was no way the film could live up to the preview see independence day thankfully i was proven wrong,positive
the preview for this film is one that needs to be studied by marketing analysts of every distribution company not only does it make us want to see the film but it doesnt give away any of the secrets,positive
but im not here to talk about the preview,positive
im here to talk about denise richards,positive
now i found her mildly interesting in starship troopers but in wild things she appeals to such a base instinct that every scene shes in demands attention in a way that almost no other performer can,positive
of course this might have something to do with her oceanic eyes and,positive
flawless body but,positive
i thought she did a great job acting too stop laughing,positive
no richards is truly a findshe is talented and always convincing in this film,positive
this mixed in with her insane physical appeal makes her a vital asset to any film she may grace in the future,positive
the other actors are good too,positive
dillon is as suave as ever its nice to see him bouncing back from albino alligator and in out,positive
bacon does a good job acting all determined and stuff as a sex crimes officer,positive
neve campbell gives the most layered performance of all of them though i wont pretend that any of these characters are deep and complex,positive
for a plot like this to work all of these people have to be insane and basically contrived,positive
thats okay because director john mcnaughton knows that hes making a selfconsciously wicked film,positive
each sceneeven the threeway sex sceneis observed with hilarity by mcnaughton and the result is a sleazefest thats too smart to resist,positive
there isnt an inconsistent moment in wild things every bit of it is alluring garbage so trashy its funny and so entertaining its painful,positive
i loved it,positive
when a someone journeys to the theater to see a comedy he always risks having to sit through inanity such as what we recently saw in films like edtv and office space,positive
it really is too bad that comedies are so hit andmiss because when a moviegoer goes in a theater expecting to be amused it really is a shame when the alleged comedy fails to deliver,positive
but weep not dear readers because the latest comedy out of the hollywood movie mill is nothing less than a sure bet,positive
austin powers the spy who shagged me is one of the funniest things ive had the pleasure to see in a long time a completely looney delightful parody of the often pretentious james bond flicks,positive
if all comedies or even half or what am i saying,positive
even a fifth of them could be this consistently hysterical i would take up residence at my local multiplex,positive
even more to this movies credit is the fact that it is a sequel to the 1997 hit austin powers international man of mystery,positive
the original came out of nowhere it was a lowbudget eccentric movie that many expected to flop like a leslie nielsen parody,positive
all of a sudden it was being quoted by teenagers all over america,positive
ironically powers yeeeeah baby yeah,positive
has almost become an icon of the late 90s,positive
thus another installment was inevitable but its also undoubtedly welcome,positive
the spy who shagged me is one of the most unrestrained over thetop comedies i have ever seen in my entire life,positive
it brings back most of the characters from its predecessor even if only briefly and adds new ones,positive
austin powers mike myers a swinging hipster from the 60s transported into the 90s has to go back to his own time to get back his mojo oh youll figure it out which dr evil meyers again has stolen,positive
he enlists the help of a gorgeous secret agent felicity shagwell now that his prior sidekick vanessa has been properly disposed of in a hilarious opening sequence played without much distinguishable gusto by heather graham and together they go back to the 60s to defeat dr evil yet again,positive
surprisingly the real star is dr evil rather than austin,positive
he gets most of the screen time because he was so popular in the first movie,positive
perhaps this is true because he is portrayed and written so affectionately,positive
instead of being the scheming villainous mad scientist we might expect from a character like this he is a bumbling often sweet mad scientist wannabe,positive
the spy who shagged me has much of the same stuff we saw in the original but thats okay by me because the original left us wanting more,positive
by the time that one was over we havent had nearly our share of shag jokes crude puns and powers antics and this sequel satisfies our appetites,positive
even by its conclusions im still not sure ive had my fill of bits like do you smoke after sex,positive
i dont know baby i never looked,positive
this may seem awfully immature of me but understand that the austin powers series unlike most of the crap hollywood feeds us these days is genuinely funny,positive
i dont know if ive ever laughed harder at any movie than i did during the jerry springer send up or the indubitably hilarious just the two of us rendition by dr evil and his new miniature clone named minime,positive
i dont have any pretensions that this is particularly smart social satire or anything of the sort,positive
indeed there is little beyond the joy a viewer feels when he sees something that is able to entertain him as much as this movie did,positive
but as far as im concerned that is enough,positive
1999 eugene novikov 137,positive
what if one of our cities became the target for terror,positive
what can we do,positive
what can america really do about the increasing threat of terrorism,positive
what basic human rights are we willing to sacrifice to prevent another oklahoma city disaster,positive
so far america has been the leading nation opposing the fundamentalist terrorists around the world,positive
it is the land of opportunities,positive
it is the land of freedom,positive
but what if it became the new target,positive
this dark fantasy has unfortunately a very strong grounding in reality,positive
when a special branch of the united states military under the command of general william devereaux bruce willis takes prisoner suspected terrorist mastermind sheik ahmed bin talal islamic fundamentalists across the world take notice,positive
the only warning the fbi receives is a single cryptic message release him,positive
then all hell breaks loose in new york,positive
a bus is destroyed killing 25 civilians,positive
a broadway theater is bombed,positive
hostages are taken at a school,positive
as the wave of terrorist activity crests the president must consider if the only way to save the city and break the grip of fear is to declare martial law,positive
devereaux argues against that eventuality but is nevertheless ready to lead 10 000 men into action on american soil,positive
another person not in favor of martial law is anthony hubbard denzel washington the fbi agent in charge of investigating the terrorist activities,positive
his staff is comprised of smart energetic intelligent men and women very much unlike the usual group o,positive
f moronic feds were used to seeing in movies,positive
hubbard develops an uneasy alliance with cia agent elise kraft annette bening whose department knows more about the situation than theyre willing to reveal,positive
but the attacks escalate,positive
the fbi are helpless chasing an invisible enemy,positive
the land is under siege,positive
they have lost control a,positive
terror is coming from within,positive
whats great about this film is that it is made as if holding up a mirror to life,positive
it reflects reality,positive
and thats why it makes such an impact,positive
edward zwick has created a clever well written and terrifying thriller that may very well be one of the best films of the season,positive
the director manages to tell several stories simultaneously,positive
and so his film plays on several levels never loosing focus on its main objective,positive
he is exploring the abuse of power the distrustful relationships that exist between various segments of the u s government the army the fbi and the cia,positive
he takes a look at the complexities inherent when so many secrets and lies are involved,positive
the palestinian community in 1998 new york is treated exactly as japanese americans were during world war ii,positive
there are concentration camps and unlawful interments all in the name of the greater good,positive
in the latter part of the film the land of opportunities looses its heart and soul freedom,positive
was that what the terror,positive
ists really wanted,positive
this film has evoked protests and objections from the arabamerican population in the u s and n y especially,positive
but to me these protests seem unnecessary,positive
zwick is careful to not step over the line and make the palestinians typical hollywood bad guys,positive
the script is therefore wonderfully balanced,positive
agent hubbards best friend and loyal colleague frank haddad tony shalhoub is lebaneseamerican,positive
and it is quite often you hear lines such as my first boyfriend was palestinian,positive
they seduce you with their suffering or they love this country as much as we do,positive
but no matter how you twist this matter you wont get away from the fact that when it comes to world wide terrorism it is arabspeaking population who are in the great majority,positive
more to the point the siege demonstrates the injustice of blanket condemnation of any ethnic group by depicting the unfair treatment of all arabamericans by the u s military,positive
and thus this film does not serve as a source for discrimination in any,positive
way,positive
denzel washington is dashing as always,positive
in this role he is much more determined and stronger than usual,positive
anette bening is enjoyable and believable as a shadowy cia operative who prefers espionage a network of snitches and seduction to gather information,positive
bruce willis is terrifying as the sadist hungry for power that never looses his connection with the audience since his point of view is not too hard to understand,positive
the film is elegantly shaped,positive
the scenes are easily floating into each other and the film never seems overlong,positive
zwick knows exactly how to provoke tension horror and emotions and does it with a rarely observed professionalism,positive
he tightens the intensity as the events progress,positive
and when a plot twist comes it actually is surprising,positive
it is not a film drained in patriotism like the work of roland emerich,positive
nor is it a film that portrays explosions purely for entertainment values,positive
it is a daring picture that has courage enough to undertake such a risky story and difficult journey,positive
it has courage enough to get involved in politics,positive
it questions our foreign policies mentality and defense,positive
i must admit that it ends rather disappointing as the director turns the patriotism way up and innovation down,positive
but despite of that it is certainly an intelligent and thrilling film that provokes emotions and thoughts a virtue that few summer films can boast of,positive
this is the u s army,positive
its a broadsword not a scalpel,positive
believe me you do not want us in an american city gen william devereaux the siege,positive
usually a movie is about something more than a soiled rug but not the big lebowski,positive
the new offering from the creators of 1996s critical hit fargo is to say the least wildly entertaining,positive
originality has always been a strong trait in the coen brothers movies and the big lebowski is insanely original,positive
it begins oddly enough when jeff the dude lebowski jeff bridges is mistaken for a millionaire jeff the big lebowski david huddleston whos wife bunny tara reid owes money all over town,positive
two goons out to collect on bunnys debt break into dudes house,positive
they attempt to collect the money that bunny owes them and one of them urinates on his rug,positive
the next day dude explains his situation to his bowling team steve buscemi john goodman respectively,positive
he is advised to go to the big lebowski and get him to pay for the defiled rug,positive
he does this and shortly after gets tied up in a kidnapping caper,positive
this is a extremely funny movie with lots of belly laugh moments,positive
the coen brothers have assembled a great cast that play off each other perfectly,positive
also several great supporting roles john turturro as a child molesting bowler named jesus,positive
the coens script plays off perfectly and it all goes together to make it extremely entertaining,positive
i doubt this movie will be nearly as popular as fargo but its off the wall moments make it so far the best of 1998,positive
if you like anything else the coen brothers have done you will love this one if not they give this one a try its a little different,positive
steve soderberghs sex lies and videotape which won the grand prize at the cannes film festival in 1989 arguably began the resurgence of independent films,positive
made on a shoestring budget of 1 2 million with then relatively unknown actors it is a provocative thoroughly original drama,positive
the film mostly focuses on the four central characters all in their late 20searly 30s,positive
ann andie macdowell an unfulfilled housewife is married to john peter gallagher an insensitive lawyer who unbeknownst to her is having an affair with her younger sister cynthia laura san giacomo,positive
complicating matters even worse is graham james spader who won best actor at cannes johns old college buddy who comes to stay at their house,positive
ann is absolutely won over by him even though she clearly has stated that she has very little interest in sex,positive
that is the setup for the last hour of the picture and since the film is entitled sex lies and videotape it is best to keep the rest of the story developments at bay so that they will come as a genuine surprise,positive
director steven soderbergh has proven to be a wildly offbeat filmmaker ranging from the independent to the mainstream 1998s out of sight to the downright kafkaesque 1997s schizopolis,positive
he is the type of director who obviously takes a lot of chances and believes in the work that he does and sex lies and videotape is probably his most confident and maybe even best to date,positive
the performances are superb from all four leads but macdowell stands out in what is probably the main character,positive
she is always a very winning actress but this is probably her most threedimensional role that she has had with a close second being altmans 1993 mosaic short cuts,positive
the other parts are perfectly cast as well from spaders ominous graham to gallaghers selfinvolved john to giacomos outspoken cynthia,positive
the final act of the film especially comes right out of left field and turns out to be both shocking and oddly touching and it would be criminal to give away the films secrets,positive
suffice to say that through one powerful sequence ann is able to somewhat come out of her shell and john learns a valuable lesson about honesty as well as deception,positive
the film has one fault however,positive
the characters are almost all emotionally cold and isolated from one another and often unlikable,positive
if there had been a few extra scenes with gallagher it probably would have helped since his relationship with macdowell isnt quite as explored as i would have liked,positive
sex lies and videotape although minorly flawed is still easily a brave and adult motion picture that is far more mature and honest about its subject matter than the usual film,positive
soderbergh clearly knew what he was doing while he was making it and the final product certainly proves this,positive
are we victims of fate in life or can we create our own destiny,positive
brad anderson seems to be saying yes to both questions in his witty film next stop wonderland,positive
the two main characters alan and erin spend the entire movie in each others orbit catching glimpses of one another yet not quite connecting until the inevitable conclusion,positive
is it fate that keeps them near each other and ultimately puts them together,positive
does this predestination carry over to all aspects of life,positive
as the film starts erin castleton hope davis a melancholy 29 year old late shift nurse is ending her livein relationship with her boyfriend hoffman,positive
rather he is ending it with her,positive
arriving home from work erin finds her boyfriend parked in front of their apartment car packed with his belongings,positive
in a fumbling amusing and self deluding ramble he instructs erin to watch a videotape hes made detailing why their relationship is doomed to fail and why hes leaving,positive
its obvious he lacks the courage to confront her directly as he rails on about accomplishing something with his life and taking a stand all the while backpedaling his way out of their relationship,positive
he then flees the scene with the grace of an inept thief,positive
erins mother holland taylor in a surprisingly effective small role fearing that her daughter will be without a man in her life takes out a personal ad for erin,positive
to erins embarrassed horror the ad describes her as a frisky cultured carefree professional with a zest for life,positive
eventually erin responds to the tidal wave of responses which makes for some of the most humorous telling moments of the movie as she meets prospective suitors and poseurs,positive
alan a plumber and aspiring marine biologist first spots erin as hes cleaning the inside glass of a fish tank at the boston aquarium,positive
wearing a wet suit and goggles he follows erin from window to window separated by the glass as erin oblivious to his gaze enjoys the fish,positive
later we see him on a train as she sits on a platform outside mere feet away,positive
the movie spends its entirety having their paths circle each other without crossing,positive
there are several subplots involving alan,positive
one concerns his attempts to get on the job track at the boston aquarium thereby escaping his apparent fate to carry on the family plumbing business,positive
another subplot involves his fathers desperate attempts to force fates hand by gambling away his life at the dog track,positive
a distracting focus is put on alans debt to a loan shark and the manner in which he pays it off,positive
the movie tries too hard to make alan a likable guy,positive
thankfully his dream guy persona is counterbalanced by erins distant yet fundamentally hopeful personality,positive
the film moves along at an unhurried pace albeit too much so in the latter third as we wait for the two to meet,positive
cowriters anderson and lyn vaus throw a couple of possible red herrings into the mix as the two find other possible relationships,positive
the films shifts into a much slower gear as we wait for these romances to blow over,positive
when alan and erin eventually do meet we see that perhaps they both were destined for each other as they share a lingering almost subliminally knowing gaze,positive
its a sweet measured moment,positive
the disappointment comes in the fact that weve come to know the pair yet we dont get to view their impending romance,positive
the films inherent belief in the subtle persistence of fate and the wonder it can bring to ones life makes next stop wonderland a quiet pleasure in a cinematic landscape littered with explosions shallow characters and overdone special effects,positive
i am starting to write this review before going to see strawberry and chocolate cubas oscar nominee for best foreign film directed by tomas gutierrez alea who also directed the sometimes and in some circles critically acclaimed memorias del subdesarrollo memories of underdevelopment,positive
i saw memorias as part of a cuban cinema class back in the late 70s it merged the politics of the cuban revolution with mundane elements of the human condition,positive
